0;TEAM;FORCE;GROUP
1;CATAR;1441;A
2;EQUADOR;1452;A
3;SENEGAL;1584;A
4;HOLANDA;1658;A
5;INGLATERRA;1761;B
6;IRA;1564;B
7;EUA;1633;B
8;GALES;1588;B
9;ARGENTINA;1765;C
10;ARABIA_S;1444;C
11;MEXICO;1658;C
12;POLONIA;1544;C
13;FRANCA;1789;D
14;PERU;1562;D
15;DINAMARCA;1653;D
16;TUNISIA;1499;D
17;ESPANHA;1709;E
18;COSTA_R;1503;E
19;ALEMANHA;1650;E
20;JAPAO;1553;E
21;BELGICA;1827;F
22;CANADA;1479;F
23;MARROCOS;1551;F
24;CROACIA;1621;F
25;BRASIL;1832;G
26;SERVIA;1547;G
27;SUICA;1635;G
28;CAMAROES;1480;G
29;PORTUGAL;1674;H
30;GANA;1387;H
31;URUGUAI;1635;H
32;COREIA_S;1519;H
