0;TEAM;FORCE;GROUP
1;QATAR;1441;A
2;ECUADOR;1452;A
3;SENEGAL;1584;A
4;NETHERLANDS;1658;A
5;ENGLAND;1761;B
6;IRAN;1564;B
7;USA;1633;B
8;WALES;1588;B
9;ARGENTINA;1765;C
10;SAUDI_ARABIA;1444;C
11;MEXICO;1658;C
12;POLAND;1544;C
13;FRANCE;1789;D
14;PERU;1562;D
15;DENMARK;1653;D
16;TUNISIA;1499;D
17;SPAIN;1709;E
18;COSTA_R;1503;E
19;GERMANY;1650;E
20;JAPAN;1553;E
21;BELGIUM;1827;F
22;CANADA;1479;F
23;MAROCCO;1551;F
24;CROATIA;1621;F
25;BRAZIL;1832;G
26;SERBIA;1547;G
27;SWITZERLAND;1635;G
28;CAMERRON;1480;G
29;PORTUGAL;1674;H
30;GHANA;1387;H
31;URUGUAY;1635;H
32;KOREA;1519;H
